В каком году Индия получила независимость от Британии?;1;1947,1824,1795,1944,1955
На чем спали древние Египтяне?;2;Сталь,Камни,Хлопок
В каком городе был убит Джон Кеннеди?;2;Нью Йорк,Даллас,Майами,Остин
Чья фраза 'Я еще вернусь'?;2;Джордж Паттон,Дуглас Макартур,Омар Брэдли
В каком году произошло американское вторжениие во Вьетнам;1;1950-е,1970-е,1960-е
Корорлем какой страны была выпущена Великая хартия вольностей?;3;Франции,Италии,Англии
Кем был изобретен первый типографский пресс?;3;Исаак Ньютон,Мартин Лютер,Иоганн Гутемберг,Бенджамин Франклин
Между какими странами произошла Столетняя война?;1;Франция и Англия,Италия и Карфаген
Кто составил '95 тезисов'?;3;Генри Торо,Вольтер,Мартин Лютер
Кто из представленных путешественников первым добрался до Китая?;3;Магеллан,Френсис дрейк,Марко Поло
